task	sentence	sentence_id	content	part_of_speech	word_idx
TSR	He was also the unsuccessful Republican nominee for President in the 1996 election, losing to the incumbent Bill Clinton.	0	Clinton.	NNP	18
TSR	He was buried at the foot of Hill Cemetery.	1	He	PRP	0
TSR	He was buried at the foot of Hill Cemetery.	1	was	VBD	1
TSR	He was buried at the foot of Hill Cemetery.	1	buried	VBN	2
TSR	He was buried at the foot of Hill Cemetery.	1	at	IN	3
TSR	He was buried at the foot of Hill Cemetery.	1	the	DT	4
TSR	He was buried at the foot of Hill Cemetery.	1	foot	NN	5
TSR	He was buried at the foot of Hill Cemetery.	1	of	IN	6
TSR	He was buried at the foot of Hill Cemetery.	1	Hill	NNP	7
TSR	He was buried at the foot of Hill Cemetery.	1	Cemetery.	NNP	8
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	In	IN	0
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	1960,	CD	1
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	Dole	NNP	2
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	was	VBD	3
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	elected	VBN	4
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	as	IN	5
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	a	DT	6
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	Republican	NNP	7
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	to	TO	8
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	the	DT	9
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	United	NNP	10
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	States	NNPS	11
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	House	NNP	12
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	of	IN	13
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	Representatives	NNPS	14
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	for	IN	15
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	the	DT	16
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	87th	CD	17
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	Congress	NNP	18
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	and	CC	19
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	to	TO	20
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	three	CD	21
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	succeeding	VBG	22
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	Congresses,	NNP	23
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	spanning	VBG	24
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	from	IN	25
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	January	NNP	26
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	3,	CD	27
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	1961	CD	28
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	to	TO	29
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	January	NNP	30
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	3,	CD	31
TSR	In 1960, Dole was elected as a Republican to the United States House of Representatives for the 87th Congress and to three succeeding Congresses, spanning from January 3, 1961 to January 3, 1969.	2	1969.	CD	32
TSR	John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.	3	John	NNP	0
TSR	John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.	3	Alston	NNP	1
TSR	John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.	3	Maxton,	NNP	2
TSR	John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.	3	Baron	NNP	3
TSR	John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.	3	Maxton	NNP	4
TSR	John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.	3	(born	NNP	5
TSR	John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.	3	May	NNP	6
TSR	John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.	3	5,	CD	7
TSR	John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.	3	1936)	CD	8
TSR	John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.	3	was	VBD	9
TSR	John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.	3	a	DT	10
TSR	John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.	3	Labour	NNP	11
TSR	John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.	3	backbench	NN	12
TSR	John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.	3	Member	NNP	13
TSR	John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.	3	of	IN	14
TSR	John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.	3	Parliament	NNP	15
TSR	John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.	3	in	IN	16
TSR	John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.	3	the	DT	17
TSR	John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.	3	British	JJ	18
TSR	John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.	3	House	NNP	19
TSR	John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.	3	of	IN	20
TSR	John Alston Maxton, Baron Maxton (born May 5, 1936) was a Labour backbench Member of Parliament in the British House of Commons.	3	Commons.	NNP	21
TSR	Reagan's presidency is regarded as a turning point for the United States Republican Party and the American conservative movement.	4	Reagan's	NNP	0
TSR	Reagan's presidency is regarded as a turning point for the United States Republican Party and the American conservative movement.	4	presidency	NN	1
TSR	Reagan's presidency is regarded as a turning point for the United States Republican Party and the American conservative movement.	4	is	VBZ	2
TSR	Reagan's presidency is regarded as a turning point for the United States Republican Party and the American conservative movement.	4	regarded	VBN	3
TSR	Reagan's presidency is regarded as a turning point for the United States Republican Party and the American conservative movement.	4	as	IN	4
TSR	Reagan's presidency is regarded as a turning point for the United States Republican Party and the American conservative movement.	4	a	DT	5
TSR	Reagan's presidency is regarded as a turning point for the United States Republican Party and the American conservative movement.	4	turning	NN	6
TSR	Reagan's presidency is regarded as a turning point for the United States Republican Party and the American conservative movement.	4	point	NN	7
TSR	Reagan's presidency is regarded as a turning point for the United States Republican Party and the American conservative movement.	4	for	IN	8
TSR	Reagan's presidency is regarded as a turning point for the United States Republican Party and the American conservative movement.	4	the	DT	9
TSR	Reagan's presidency is regarded as a turning point for the United States Republican Party and the American conservative movement.	4	United	NNP	10
TSR	Reagan's presidency is regarded as a turning point for the United States Republican Party and the American conservative movement.	4	States	NNPS	11
TSR	Reagan's presidency is regarded as a turning point for the United States Republican Party and the American conservative movement.	4	Republican	NNP	12
TSR	Reagan's presidency is regarded as a turning point for the United States Republican Party and the American conservative movement.	4	Party	NNP	13
TSR	Reagan's presidency is regarded as a turning point for the United States Republican Party and the American conservative movement.	4	and	CC	14
TSR	Reagan's presidency is regarded as a turning point for the United States Republican Party and the American conservative movement.	4	the	DT	15
TSR	Reagan's presidency is regarded as a turning point for the United States Republican Party and the American conservative movement.	4	American	NNP	16
TSR	Reagan's presidency is regarded as a turning point for the United States Republican Party and the American conservative movement.	4	conservative	JJ	17
TSR	Reagan's presidency is regarded as a turning point for the United States Republican Party and the American conservative movement.	4	movement.	NN	18
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	Richard	NNP	0
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	Bruce	NNP	1
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	Cheney	NNP	2
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	(born	NNP	3
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	January	NNP	4
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	30,	CD	5
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	1941),	CD	6
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	widely	RB	7
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	known	VBN	8
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	as	IN	9
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	Dick	NNP	10
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	Cheney,	NNP	11
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	is	VBZ	12
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	an	DT	13
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	American	JJ	14
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	politician	NN	15
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	and	CC	16
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	businessman	NN	17
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	affiliated	VBN	18
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	with	IN	19
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	the	DT	20
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	U.S.	NNP	21
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	Republican	NNP	22
TSR	Richard Bruce Cheney (born January 30, 1941), widely known as Dick Cheney, is an American politician and businessman affiliated with the U.S. Republican Party.	5	Party.	NNP	23
TSR	As he once joked, he was the youngest ex-governor in the nation's history.	6	As	IN	0
TSR	As he once joked, he was the youngest ex-governor in the nation's history.	6	he	PRP	1
TSR	As he once joked, he was the youngest ex-governor in the nation's history.	6	once	RB	2
TSR	As he once joked, he was the youngest ex-governor in the nation's history.	6	joked,	VBD	3
TSR	As he once joked, he was the youngest ex-governor in the nation's history.	6	he	PRP	4
TSR	As he once joked, he was the youngest ex-governor in the nation's history.	6	was	VBD	5
TSR	As he once joked, he was the youngest ex-governor in the nation's history.	6	the	DT	6
TSR	As he once joked, he was the youngest ex-governor in the nation's history.	6	youngest	JJS	7
TSR	As he once joked, he was the youngest ex-governor in the nation's history.	6	ex-governor	JJ	8
TSR	As he once joked, he was the youngest ex-governor in the nation's history.	6	in	IN	9
TSR	As he once joked, he was the youngest ex-governor in the nation's history.	6	the	DT	10
TSR	As he once joked, he was the youngest ex-governor in the nation's history.	6	nation's	NN	11
TSR	As he once joked, he was the youngest ex-governor in the nation's history.	6	history.	NN	12
TSR	Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.	7	Frank	NNP	0
TSR	Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.	7	Charles	NNP	1
TSR	Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.	7	Carlucci	NNP	2
TSR	Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.	7	III	NNP	3
TSR	Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.	7	(born	NNP	4
TSR	Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.	7	October	NNP	5
TSR	Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.	7	18,	CD	6
TSR	Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.	7	1930)	CD	7
TSR	Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.	7	was	VBD	8
TSR	Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.	7	a	DT	9
TSR	Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.	7	government	NN	10
TSR	Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.	7	official	NN	11
TSR	Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.	7	in	IN	12
TSR	Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.	7	the	DT	13
TSR	Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.	7	United	NNP	14
TSR	Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.	7	States,	NNP	15
TSR	Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.	7	associated	VBN	16
TSR	Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.	7	with	IN	17
TSR	Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.	7	the	DT	18
TSR	Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.	7	Republican	NNP	19
TSR	Frank Charles Carlucci III (born October 18, 1930) was a government official in the United States, associated with the Republican Party.	7	Party.	NNP	20
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	He	PRP	0
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	is	VBZ	1
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	a	DT	2
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	strong	JJ	3
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	supporter	NN	4
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	of	IN	5
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	the	DT	6
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	Democratic	NNP	7
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	Party	NNP	8
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	and	CC	9
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	is	VBZ	10
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	of	IN	11
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	mostly	RB	12
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	Irish	JJ	13
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	American	NNP	14
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	heritage,	NN	15
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	although	IN	16
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	he	PRP	17
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	also	RB	18
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	has	VBZ	19
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	some	DT	20
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	distant	JJ	21
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	German	JJ	22
TSR	He is a strong supporter of the Democratic Party and is of mostly Irish American heritage, although he also has some distant German ancestry.	8	ancestry.	NN	23
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	Henry	NNP	0
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	David	NNP	1
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	Reginald	NNP	2
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	Margesson,	NNP	3
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	1st	CD	4
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	Viscount	NNP	5
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	Margesson,	NNP	6
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	of	IN	7
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	Rugby	NNP	8
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	(July	NNP	9
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	26,	CD	10
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	1890-December	JJ	11
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	24,	CD	12
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	1965)	CD	13
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	was	VBD	14
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	a	DT	15
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	British	JJ	16
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	Conservative	NNP	17
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	politician	NN	18
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	most	RBS	19
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	popularly	RB	20
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	remembered	VBN	21
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	for	IN	22
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	his	PRP$	23
TSR	Henry David Reginald Margesson, 1st Viscount Margesson, of Rugby (July 26, 1890-December 24, 1965) was a British Conservative politician most popularly remembered for his tenure as Government Chief Whip in the 1930s.	9	tenure	NN	24
